Log_TotalDeaths,Log_TotalAffected,Log_TotalDamage,Log_AdjDamage,Log_DamagePerDeath,Log_Duration,Month_Sin,Month_Cos,FloodSubtype_Code,Region_Code,Start Year,KMeans_Cluster,Risk_Label
4.0943445622221,3.332204510175204,0.0,0.0,0.016529301951210565,3.258096538021482,1.0,6.123233995736766e-17,2,0,2026,0,Low Risk
2.9444389791664403,11.202452304217632,0.0,0.0,0.051293294387550536,2.0794415416798357,0.8660254037844387,-0.4999999999999998,2,2,2026,0,Low Risk
1.9459101490553132,11.277215789596893,0.0,0.0,0.13353139262452263,0.6931471805599453,0.49999999999999994,-0.8660254037844387,2,0,2026,0,Low Risk
0.0,10.04828029743767,0.0,0.0,0.6931471805599453,1.3862943611198906,-0.8660254037844385,-0.5000000000000004,2,0,2025,0,Low Risk
3.7612001156935624,11.026808713825016,0.0,0.0,0.02298951822469874,1.3862943611198906,0.49999999999999994,-0.8660254037844387,2,2,2026,0,Low Risk
4.836281906951478,12.374553020250227,12.834683971615659,12.834683971615659,7.998738007333126,1.6094379124341003,1.0,6.123233995736766e-17,2,1,2025,1,Medium Risk
3.367295829986474,8.089789175789319,0.0,0.0,0.033901551675681346,1.0986122886681098,0.49999999999999994,-0.8660254037844387,2,2,2026,0,Low Risk
2.302585092994046,12.301387370778713,0.0,0.0,0.09531017980432487,3.970291913552122,-0.8660254037844385,-0.5000000000000004,3,0,2001,0,Low Risk
1.0986122886681098,9.392745258631441,0.0,0.0,0.2876820724517809,0.0,0.49999999999999994,-0.8660254037844387,1,0,2003,0,Low Risk
2.833213344056216,6.558197802812269,0.0,0.0,0.05715841383994861,1.0986122886681098,0.49999999999999994,0.8660254037844387,1,2,2026,0,Low Risk
0.0,9.933094897288786,0.0,0.0,0.6931471805599453,1.9459101490553132,0.49999999999999994,0.8660254037844387,1,2,2026,0,Low Risk
4.700480365792417,10.634339875274723,0.0,0.0,0.009049835519917908,3.258096538021482,0.49999999999999994,0.8660254037844387,2,0,2026,0,Low Risk
0.0,9.687878048875998,0.0,0.0,0.6931471805599453,0.0,0.8660254037844386,0.5000000000000001,2,1,2026,0,Low Risk
3.871201010907891,14.731801689838349,10.840580412039547,11.466284489639055,6.970319195620796,1.6094379124341003,-0.4999999999999997,-0.8660254037844388,2,2,2000,1,Medium Risk
3.8066624897703196,13.270790279050544,14.603968372873895,0.0,10.797326337430542,2.833213344056216,0.49999999999999994,0.8660254037844387,2,1,2026,1,Medium Risk
1.791759469228055,10.12667110305036,0.0,0.0,0.15415067982725827,1.3862943611198906,0.49999999999999994,0.8660254037844387,2,0,2026,0,Low Risk
3.332204510175204,10.596659732783579,0.0,0.0,0.035091319811270096,1.6094379124341003,0.49999999999999994,-0.8660254037844387,3,2,2010,0,Low Risk
0.0,10.308985993422082,0.0,0.0,0.6931471805599453,2.5649493574615367,-1.0,-1.8369701987210297e-16,3,2,2010,0,Low Risk
0.6931471805599453,8.699681400989514,0.0,0.0,0.4054651081081644,1.0986122886681098,0.49999999999999994,0.8660254037844387,2,0,2026,0,Low Risk
1.3862943611198906,8.576593534697684,0.0,0.0,0.22314355131420976,1.0986122886681098,0.8660254037844386,0.5000000000000001,2,2,2026,0,Low Risk
0.0,8.77863395266279,0.0,0.0,0.6931471805599453,1.0986122886681098,0.8660254037844386,0.5000000000000001,2,0,2026,0,Low Risk
3.4011973816621555,11.850418608859659,0.0,0.0,0.032789822822990866,1.6094379124341003,1.0,6.123233995736766e-17,2,0,2026,0,Low Risk
1.0986122886681098,5.288267030694535,0.0,0.0,0.2876820724517809,1.791759469228055,1.0,6.123233995736766e-17,2,4,2026,0,Low Risk
1.6094379124341003,10.35204407807524,0.0,0.0,0.18232155679395465,1.6094379124341003,1.0,6.123233995736766e-17,2,2,2026,0,Low Risk
4.882801922586371,9.565494159542977,0.0,0.0,0.007547205635382911,0.6931471805599453,1.0,6.123233995736766e-17,2,0,2026,0,Low Risk
3.828641396489095,10.845309569606691,0.0,0.0,0.021506205220963588,1.0986122886681098,0.8660254037844387,-0.4999999999999998,2,0,2026,0,Low Risk
0.6931471805599453,5.123963979403259,0.0,0.0,0.4054651081081644,0.6931471805599453,0.8660254037844387,-0.4999999999999998,2,2,2026,0,Low Risk
2.8903717578961645,9.596418766284158,9.210440366976517,0.0,6.3218668113630985,1.0986122886681098,0.49999999999999994,0.8660254037844387,1,2,2026,0,Low Risk
3.784189633918261,14.50866973845222,12.676079399771027,0.0,8.892027255970879,2.302585092994046,0.49999999999999994,0.8660254037844387,2,0,2026,1,Medium Risk
1.9459101490553132,11.082357910301223,0.0,0.0,0.13353139262452263,1.9459101490553132,0.8660254037844387,-0.4999999999999998,2,0,2026,0,Low Risk
1.9459101490553132,14.220976332738882,0.0,0.0,0.13353139262452263,0.6931471805599453,0.8660254037844387,-0.4999999999999998,2,3,2026,0,Low Risk
2.6390573296152584,12.055267197503948,0.0,0.0,0.06899287148695145,1.3862943611198906,0.8660254037844387,-0.4999999999999998,2,1,2026,0,Low Risk
1.0986122886681098,12.315308143736264,0.0,0.0,0.2876820724517809,0.6931471805599453,1.0,6.123233995736766e-17,2,0,2026,0,Low Risk
5.135798437050262,11.2176278007064,0.0,0.0,0.0058651194523980784,2.995732273553991,1.0,6.123233995736766e-17,2,2,2026,0,Low Risk
0.0,12.269052139516223,0.0,0.0,0.6931471805599453,1.6094379124341003,-2.4492935982947064e-16,1.0,2,0,2019,0,Low Risk
0.0,6.803505257608338,0.0,0.0,0.6931471805599453,3.295836866004329,-2.4492935982947064e-16,1.0,2,1,2019,0,Low Risk
1.3862943611198906,11.211833885608513,0.0,0.0,0.22314355131420976,1.0986122886681098,1.2246467991473532e-16,-1.0,2,2,2020,0,Low Risk
0.0,9.61587214452889,0.0,0.0,0.6931471805599453,0.6931471805599453,1.2246467991473532e-16,-1.0,1,3,2020,0,Low Risk
0.0,5.8888779583328805,0.0,0.0,0.6931471805599453,1.0986122886681098,1.2246467991473532e-16,-1.0,1,1,2020,0,Low Risk
0.0,7.631916513071252,0.0,0.0,0.6931471805599453,0.6931471805599453,0.8660254037844387,-0.4999999999999998,2,0,2020,0,Low Risk
2.833213344056216,4.61512051684126,0.0,0.0,0.05715841383994861,0.6931471805599453,-0.4999999999999997,-0.8660254037844388,1,2,2020,0,Low Risk
5.638354669333745,15.250595321348806,16.648723960844016,16.866999577369338,11.010385820784455,4.2626798770413155,0.49999999999999994,-0.8660254037844387,2,2,2020,1,Medium Risk
4.189654742026425,11.085996650738002,0.0,0.0,0.015037877364540516,0.0,-2.4492935982947064e-16,1.0,2,0,2019,0,Low Risk
4.30406509320417,13.357607816752166,9.210440366976517,9.42867236629317,4.913747293610714,4.276666119016055,-0.4999999999999997,-0.8660254037844388,2,0,2020,1,Medium Risk
1.9459101490553132,7.601402334583733,0.0,0.0,0.13353139262452263,2.3978952727983707,-0.8660254037844386,0.5000000000000001,2,1,2019,0,Low Risk
0.0,8.699681400989514,0.0,0.0,0.6931471805599453,1.791759469228055,-2.4492935982947064e-16,1.0,2,1,2019,0,Low Risk
2.3978952727983707,0.0,0.0,0.0,0.08701137698962977,1.791759469228055,-0.5000000000000004,0.8660254037844384,3,0,2019,0,Low Risk
1.3862943611198906,8.537191877922927,0.0,0.0,0.22314355131420976,1.0986122886681098,-0.8660254037844385,-0.5000000000000004,2,1,2020,0,Low Risk
0.0,8.543640361431086,0.0,0.0,0.6931471805599453,1.791759469228055,-0.4999999999999997,-0.8660254037844388,2,2,2020,0,Low Risk
1.3862943611198906,8.46611040118692,0.0,0.0,0.22314355131420976,3.1354942159291497,-0.8660254037844386,0.5000000000000001,2,0,2019,0,Low Risk
