Cluster ID,Flood Risk Level,N Events,Mean Log Deaths,Mean Log Affected,Mean Log Damage,Dominant Region
0,Low Risk,3029,1.724,8.007,0.043,Asia
1,Medium Risk,1178,2.672,9.573,11.153,Asia
